Date,Signal,Open,High,Low,Close,Volume,RUSS_Close,NYSE_Close,NASDAQ_Close,SP_Close,FTSE_Close,GOLD_Close,N225_Close,USDCNY_Close,USDEUR_Close,USDGBP_Close,USDJPY_Close
14-04-16,2,17912.25,17962.14,17885.44,17926.43,84510000,1128.59,10360.24,4945.89,2082.78,6365.1,1227.89,16911.05,6.4684,0.8866,0.7046,109.42
15-04-16,1,17925.95,17937.65,17867.41,17897.46,118160000,1130.92,10355.57,4938.22,2080.73,6343.8,1233.99,16848.03,6.4726,0.8873,0.7069,109.316
18-04-16,1,17890.2,18009.53,17848.22,18004.16,89390000,1139.28,10424.93,4960.02,2094.34,6353.5,1232.49,16275.95,6.4656,0.885,0.7055,108.017
19-04-16,1,18012.1,18103.46,17984.43,18053.6,89820000,1140.23,10517.3,4940.33,2100.8,6405.4,1250.19,16874.44,6.4652,0.8842,0.6998,109.073
20-04-16,2,18059.49,18167.63,18031.21,18096.27,100210000,1142.29,10527.79,4948.13,2102.4,6410.3,1244.25,16906.54,6.4481,0.8803,0.6949,109.24
21-04-16,1,18092.84,18107.29,17963.89,17982.52,102720000,1135.77,10454.82,4945.89,2091.48,6381.4,1248.05,17363.62,6.4608,0.8846,0.6974,109.838
22-04-16,2,17985.05,18026.85,17909.89,18003.75,134120000,1146.69,10511,4906.23,2091.58,6310.4,1233.03,17572.49,6.4719,0.8856,0.6982,109.437
25-04-16,1,17990.94,17990.94,17855.55,17977.24,83770000,1138.1,10465.65,4895.79,2087.79,6260.9,1237.97,17439.3,6.491,0.8902,0.6922,111.436
26-04-16,1,17987.38,18043.77,17934.17,17990.32,92570000,1150.73,10522.58,4888.28,2091.7,6284.5,1243.4,17353.28,6.483,0.8874,0.6901,111.136
27-04-16,2,17996.14,18084.66,17920.26,18041.55,109090000,1154.15,10571.83,4863.14,2095.15,6319.9,1245.83,17290.49,6.4835,0.885,0.686,111.23
28-04-16,2,18023.88,18035.73,17796.55,17830.76,100920000,1140.4,10480.45,4805.29,2075.81,6322.4,1266.26,16666.05,6.485,0.8827,0.6877,111.52
29-04-16,1,17813.09,17814.83,17651.98,17773.64,136670000,1130.85,10436.92,4775.36,2065.3,6241.9,1293.53,,6.4659,0.8806,0.6844,108.076
02-05-16,2,17783.78,17912.35,17773.71,17891.16,80100000,1140.92,10496.33,4817.59,2081.43,,1291.55,16147.38,6.4641,0.8724,0.6848,106.453
03-05-16,2,17870.75,17870.75,17670.88,17750.91,97060000,1121.76,10365.83,4763.22,2063.37,6185.6,1286.5,,6.4641,0.8677,0.6819,106.396
04-05-16,1,17735.02,17738.06,17609.01,17651.26,95020000,1113.13,10286.24,4725.64,2051.12,6112,1279.68,,6.4818,0.8693,0.6872,106.68
05-05-16,1,17664.48,17736.11,17615.82,17660.71,81530000,1107.95,10281.32,4717.09,2050.63,6117.3,1277.74,,6.4848,0.8701,0.6893,106.92
06-05-16,2,17650.3,17744.54,17580.38,17740.63,80020000,1114.72,10308.83,4736.16,2057.14,6125.7,1288.99,16106.72,6.4935,0.8767,0.69,107.275
09-05-16,1,17743.85,17783.16,17668.38,17705.91,85590000,1118.25,10291.59,4750.21,2058.69,6114.8,1263.88,16216.03,6.4902,0.8781,0.693,107.36
10-05-16,2,17726.66,17934.61,17726.66,17928.35,75790000,1128.83,10424.11,4809.88,2084.39,6156.7,1265.84,16565.19,6.5069,0.8781,0.6937,108.331
11-05-16,1,17919.03,17919.03,17711.05,17711.12,87390000,1114.74,10332.24,4760.69,2064.46,6162.5,1277.21,16579.01,6.5083,0.8792,0.692,109.194
12-05-16,2,17711.12,17798.19,17625.38,17720.5,88560000,1108.6,10334.38,4737.33,2064.11,6104.2,1263.68,16646.34,6.482,0.8751,0.6926,108.415
13-05-16,1,17711.12,17734.74,17512.48,17535.32,86640000,1102.44,10228.06,4717.68,2046.61,6138.5,1273.45,16412.21,6.5068,0.879,0.6923,109.1
